Opened the file successfully
The file has been written successfully
File found, extracting the data
131.537788,458.650132
218.959186,678.864717
934.692896,519.416372
34.572110,529.700193
7.698186,66.842237
686.772712,930.436495
526.928778,653.918962
701.190594,762.198040
47.464513,328.234226
756.410486,365.338671
982.550286,753.355835
72.685883,884.707129
436.411406,477.731765
274.906840,166.507200
897.656287,60.564328
504.522895,319.032941
493.976685,90.732895
73.749075,384.142148
913.817442,464.445825
50.083984,770.204547
125.365376,688.455301
629.543418,725.411999
888.572214,306.321831
513.273702,845.981560
841.510640,415.394615
467.917369,178.327704
571.654811,33.053754
498.480119,748.292651
890.737482,842.039613
212.751515,130.427262
274.588147,414.293263
709.819593,239.910805
317.539536,652.058686
681.346214,387.725337
147.533003,845.575660
955.408827,148.151562
408.766694,564.898681
488.514549,961.095141
199.757199,629.269156
651.253741,803.072996
476.431803,203.250335
901.673499,142.021032
410.313036,885.648371
162.198552,365.339029
135.109368,455.307284
452.300169,931.674401
215.248384,908.921886
860.859836,505.955875
817.561483,462.244979
632.738700,824.697387
702.206649,954.414903
289.316203,514.434666
414.028483,876.565719
729.747680,715.642335
706.535474,19.092404
524.987406,65.193873
488.943159,682.049120
916.633896,890.018680
139.194999,989.362500
446.023427,514.659458
439.725563,806.649917
211.518957,153.604480
616.350366,0.878999
727.334990,417.723716
680.561984,836.419880
828.707952,81.737609
629.571836,213.546799
388.823238,947.545062
269.214742,284.035037
783.865203,282.155885
11.316226,983.235798
819.726094,398.143691
176.880368,157.731180
257.168656,101.637378
634.717440,794.769813
752.940413,633.429907
598.216636,318.777880
117.436935,526.123277
587.988913,702.989412
161.687709,860.225696
556.835783,316.007338
528.548268,588.119122
430.847792,370.226276
446.865942,387.831219
78.263208,253.922281
676.236921,728.608364
944.752823,940.163120
460.434173,661.355497
605.639704,150.393889
343.817559,522.807713
14.950569,642.978886
917.847719,970.086674
843.975369,455.751598
22.083700,706.949951
436.638450,751.710093
695.679153,753.862746
4.253923,79.916884
903.301184,746.679147
6.341690,518.478423
544.022712,215.825892
626.861370,709.319847
280.288923,371.909687
310.168938,103.797284
775.880329,55.278790
160.273919,297.022110
477.804317,519.988486
150.311533,833.682135
577.775996,331.174955
986.882989,1.657416
29.355480,489.651703
738.958728,536.266769
122.506893,188.275797
614.125520,125.932817
954.028496,838.101639
259.014192,424.335875
897.914238,760.617294
451.851230,665.503455
209.562306,546.974836
175.974258,431.908283
687.414489,836.206559
973.346203,80.353081
769.437379,250.155272
769.114057,749.251616
681.665781,36.367619
221.667317,652.621920
371.465746,233.691498
165.927536,159.757698
661.993511,949.157148
621.045637,17.944520
721.871636,53.694391
519.174864,65.356268
977.180207,329.056103
743.273954,171.379337
939.725403,254.957478
123.848773,160.083162
105.184838,368.562140
327.227557,576.775860
758.245767,699.791103
935.241602,362.083626
455.072392,240.440476
421.578650,289.766464
216.386149,527.439092
863.642753,711.564447
382.821503,459.762769
795.352612,3.228781
664.688831,186.824744
134.039142,946.044574
606.001297,347.491668
509.658228,834.338457
329.434288,631.763274
41.420438,767.065016
519.303216,220.515533
88.992663,706.461274
261.778519,378.366195
232.607609,469.498494
977.238325,34.243099
31.638792,591.588201
329.578871,536.528269
403.581087,966.909653
867.514227,148.390408
639.523299,931.914725
815.406767,572.806522
945.250273,155.413880
343.613376,96.538274
22.405038,856.876118
674.524732,698.460332
191.983756,345.871737
140.710484,221.656460
586.015786,26.339687
762.343886,77.324318
925.503046,430.446003
831.255979,601.637641
519.336635,161.419415
574.360282,531.427296
667.049291,548.736285
667.965439,571.582608
441.313216,502.274728
31.656549,522.063464
35.059507,107.180518
551.829426,611.110564
772.030294,486.681152
696.995748,486.849514
710.450062,276.646965
280.103729,530.489573
235.402719,597.476230
920.252365,821.177332
230.269750,899.521118
651.514536,935.935941
858.765927,952.430941
122.949751,702.471381
107.738809,99.865607
344.576490,757.621141
330.758351,573.182917
202.481970,974.347868
491.840745,804.912370
159.579801,149.251389
380.608300,424.133531
651.294599,60.142465
897.656899,901.217948
170.796242,31.403776
522.214650,277.198161
586.861973,811.895381
939.871485,579.862506
880.784083,189.548588
718.919448,72.869049
879.059879,89.853098
416.796360,674.692843
813.046837,769.360101
896.523973,486.470701
377.484537,687.577899
76.821759,477.640780
238.019335,975.880810
681.198827,362.400144
794.277913,73.510955
483.872835,499.657331
932.843466,146.195634
80.322037,408.177451
963.160200,198.079936
196.307438,575.679197
585.674593,368.202672
600.132651,148.787422
995.400611,402.739887
819.527184,374.249397
479.778607,646.495204
799.034769,357.671774
334.306752,144.897455
666.856332,314.698884
602.249395,920.829533
516.531472,264.133456
833.648146,634.619426
458.045863,155.872901
665.973198,794.880759
288.654463,320.611328
719.155236,231.895342
373.359317,73.850327
566.182634,422.552481
293.043446,357.525680
589.419233,463.058715
944.452061,50.481635
595.927192,864.171537
104.579360,833.377836
658.593564,18.916016
194.678867,523.072458
719.794756,837.081852
659.887574,643.026687
534.876191,323.428880
442.370320,276.667564
117.237818,836.375471
332.928315,535.956334
929.890099,243.228502
596.723153,246.973685
196.177959,835.997049
623.242618,671.648216
871.283831,115.606595
676.065256,454.547174
32.269375,855.082456
661.425384,59.959806
279.493224,176.420051
897.244744,594.159160
690.931589,569.339902
434.502802,203.158310
272.442858,244.300188
476.951692,961.436137
217.409830,782.474587
960.054821,573.400196
129.042936,501.853745
505.058991,118.397278
668.904480,386.707413
831.096746,123.444297
648.075279,848.695339
105.562443,360.967434
719.204282,580.969309
157.154286,169.109519
671.351506,886.510345
341.847875,699.639096
791.982452,282.219591
169.960941,73.183717
750.170895,164.599578
773.202450,433.928308
929.321476,266.286788
